id,scientific_name,common_name,lf_code,nursery_available
282,Lepidosperma concavum,Sandhill  Sword-sedge,MTG,
283,Lepidosperma elatius,Tall  Sword-sedge,LTG,
284,Lepidosperma filiforme,Common Rapier-sedge,MTG,
285,Lepidosperma gladiatum,Coast Sword-sedge,MTG,
286,Lepidosperma laterale,Variable Sword-sedge,MTG,
287,Lepidosperma laterale var. laterale,Variable Sword-sedge,MTG,
288,Lepidosperma longitudinale,Pithy Sword-sedge,LNG,
289,Lepidosperma semiteres,Wire  Rapier-sedge,MTG,
290,Leptinella filicula,Mountain Cotula,SH,
291,Leptorhynchos  squamatus,Scaly Buttons,MH,
292,Leptorhynchos squamatus,Scaly Buttons,MH,
293,Leptorhynchos tenuifolius,Wiry Buttons,MH,
294,Leptorhyncos  tenuifolius,Wiry Buttons,LH,
295,Leptospermum  coriaceum,Mallee Tea-tree,MS,
296,Leptospermum  myrsinoides,Heath Tea-tree,MS,
297,Leptospermum continentale,Prickly  Tea-tree,MS,
298,Leptospermum myrsinoides,Heath  Tea-tree,MS,
299,Leptospermum scoparium,Manuka,MS,
300,Leptostigma reptans,Dwarf  Nertera,SH,
301,Leucopogon costatus,Twiggy Beard-heath,SS,
302,Leucopogon gelidus,Drooping Beard-heath,MS,
303,Leucopogon hookeri,Mountain Beard-heath,SS,
304,Leucopogon lanceolatus var. lanceolatus,Lance Beard-heath,MS,
305,Leucopogon parviflorus,Coast Beard-heath,MS,
306,Leucopogon rufus,Ruddy Beard-heath,SS,
307,Leucopogon virgatus,Common Beard-heath,SS,
308,Leucopogon virgatus var. brevifolius,Common Beard-heath,SS,
309,Lindsaea linearis,Screw Fern,GF,
310,Lissanthe strigosa,Peach Heath,SS,
311,Lissanthe strigosa ssp. subulata,Peach Heath,SS,
312,Lobelia pedunculata s.l.,Matted Pratia,SH,
313,Lobelia pratioides,Poison Lobelia,SH,
314,Lomandra filiformis,Wattle  Mat-rush,MTG,
315,Lomandra filiformis ssp. coriacea,Wattle  Mat-rush MTG,MTG,
316,Lomandra filiformis ssp. filiformis,Wattle Mat-rush,MTG,
317,Lomandra juncea,Desert Mat-rush,MTG,
318,Lomandra longifolia,Spiny-headed  Mat-rush,LTG,
319,Lomandra multiflora ssp. multiflora,Many-flowered  Mat-rush,MTG,
320,Lomandra nana,Dwarf Mat-rush,MTG,
321,Lomandra sororia,Small Mat-rush,MTG,
322,Lomatia fraseri,Tree Lomatia,T,
323,Lomatia ilicifolia,Holly Lomatia,SS,
324,Luzula campestris spp. agg.,Field  Woodrush,MNG,
325,Luzula meridionalis,Common  Woodrush,MTG,
326,Luzula meridionalis var. densiflora,Common  Woodrush,MTG,
327,Luzula meridionalis var. flaccida,Common  Woodrush,MTG,
328,Maireana  enchylaenoides,Wingless Bluebush,SH,
329,Maireana decalvans,Black Cotton-bush,SS,
330,Maireana enchylaenoides,Wingless Bluebush,MH,
331,Maireana lobiflora,Lobed Bluebush,SH,
332,Maireana pentagona,Hairy Bluebush,SH,
333,Marsilea drummondii,Common Nardoo,MH,
334,Melaleuca squarrosa,Scented Paperbark,MS,
335,Melichrus urceolatus,Urn Heath,SS,
336,Microlaena stipoides var. stipoides,Weeping  Grass,MNG,
337,Microtis unifolia,Common Onion-orchid,MNG,
338,Minuria cunninghamii,Bush Minuria,SS,
339,Monotoca scoparia,Prickly  Broom-heath,MS,
340,Muehlenbeckia  florulenta,Tangled Lignum,MS,
341,Muehlenbeckia axillaris,Matted Lignum,PS,
342,Myoporum  platycarpum,Sugarwood,T,
343,Nertera granadensis,Matted  Nertera,SH,
344,Neurachne alopecuroidea,Fox-tail Mulga-grass,MTG,
345,Olearia alpicola,Alpine Daisy-bush,MS,
346,Olearia argophylla,Musk Daisy-bush,T,
347,Olearia erubescens,Moth Daisy-bush,SS,
348,Olearia lirata,Snowy  Daisy-bush,MS,
349,Olearia phlogopappa,Dusty Daisy-bush,MS,
350,Olearia pimeleoides,Pimelea Daisy-bush,SS,
351,Opercularia ovata,Broad-leaf  Stinkweed,SH,
352,Opercularia varia,Variable  Stinkweed,SH,
353,Osteocarpum acropterum var. deminutum,Babbagia,PS,
354,Oxalis corniculata s.l.,Yellow Wood-sorrel,SH,
355,Oxalis exilis,Shady  Wood-sorrel,SH,
356,Oxalis perennans,Grassland Wood-sorrel,MH,
357,Ozothamnus conditus,Pepper Everlasting,MS,
358,Ozothamnus ferrugineus,Tree  Everlasting,MS,
359,Ozothamnus obcordatus,Grey Everlasting,MS,
360,Patersonia fragilis,Short Purple-flag,MTG,
361,Pelargonium rodneyanum,Magenta Stork’s-bill,MH,
362,Pentapogon quadrifidus,Five-awned Spear-grass,MTG,
363,Persoonia juniperina,Prickly  Geebung,MS,
364,Pimelea curviflora s.l.,Curved Rice-flower,SS,
365,Pimelea curviflora s.s.,Curved Rice-flower,SS,
366,Pimelea glauca,Smooth Rice-flower,SS,
367,Pimelea humilis,Common Rice-flower,SS,
368,Pimelea microphylla,Small Pimelea,MH,
369,Pimelea pauciflora,Poison Rice-flower,MS,
370,Pittosporum  angustifolium,Weeping Pittosporum,T,
371,Pittosporum angustifolium,Weeping Pittosporum,MS,
372,Plantago gaudichaudii,Narrow Plantain,MH,
373,Plantago hispida,Hairy Plantain,MH,
374,Platylobium formosum,Handsome Flat-pea,SS,
375,Platylobium obtusangulum,Common  Flat-pea,SS,
376,Poa australis spp. agg.,Tussock Grass,MTG,
377,Poa ensiformis,Sword Tussock-grass,MTG,
378,Poa hookeri,Hooker's Tussock-grass,MTG,
379,Poa labillardierei,Common Tussock-grass,MTG,
380,Poa morrisii,Soft Tussock-grass,MTG,
381,Poa rodwayi,Velvet Tussock-grass,MTG,
382,Poa sieberiana,Grey Tussock-grass,MTG,
383,Poa sieberiana var. hirtella,Grey  Tussock-grass,MTG,
384,Poa sieberiana var. sieberiana,Grey  Tussock-grass,MTG,
